grade_band,weekday_affinity,semantic_group,proposed_question_family,question_text,gate_type,yes_follow_up_intents,no_branch_direction,recommended_cooldown_days,time_of_day,rapport_weight,existing_similar_question_ids,duplicate_risk,why_needed,status
초1~2,"sat,sun",MEAL_AND_TASTE,FOOD_TODAY,오늘 먹은 것 중에 제일 맛있었던 건 뭐야?,OPEN,음식 이름 묻기;어떤 맛이었는지 묻기;누구와 함께 먹었는지 묻기,좋아하는 간식이나 먹고 싶은 음식으로 전환,5,evening,2,026af462-7f62-ce82-6002-b227e55cd12d;f7a5059e-c8d3-7259-0d94-3a5d96d14189,LOW,"주말 특별한 식사나 간식 경험을 탐색하기 위해 weekday_affinity에 sat,sun 추가 필요",REUSE_EXISTING
초1~2,sat,DIGITAL_CONTENT,VIDEO_TODAY,요즘 재미있게 보는 만화나 영상이 있어?,GATE,만화나 영상 제목 묻기;제일 좋아하는 등장인물 묻기;어떤 장면이 웃겼는지 묻기,좋아하는 장난감 놀이나 만들기 활동으로 전환,7,afternoon,2,e3df1283-a841-cb53-f652-079f54c95d3f;ff0fc18e-564f-0a88-1a02-a62f17d426f6,LOW,주말 여가시간 미디어 시청 맥락에 맞춰 weekday_affinity에 sat 추가 필요,REUSE_EXISTING
초1~2,sat,FAMILY_RELATIONSHIP,WEEKEND_HIGHLIGHT,오늘 가족이랑 같이 한 게 있어?,GATE,가족과 무엇을 했는지 묻기;어떤 점이 재미있었는지 묻기,혼자 재미있게 즐긴 놀이나 휴식으로 전환,5,evening,2,52a7979f-8ac2-c61d-a58f-2e8de9c69cbc;8589078c-90e0-b520-9c66-c64136eb6c8a,LOW,기존 토요일 가족 활동 질문 유지,REUSE_EXISTING
초1~2,sat,HOBBY_AND_CREATION,FRIEND_PLAY,오늘 무슨 놀이 했어?,OPEN,놀이 이름 묻기;혼자 했는지 친구나 가족과 했는지 묻기,오늘 쉬면서 보낸 시간이나 다른 활동으로 전환,3,afternoon,1,6e330beb-1bb3-f14f-f2e2-97923c3ce292,LOW,기존 토요일 놀이 질문 유지,REUSE_EXISTING
초1~2,sat,DAILY_LIFE,OUTING_TODAY,오늘 밖에 나가서 놀거나 어디 다녀왔어?,GATE,어디에 다녀왔는지 묻기;누구와 함께 갔는지 묻기;무엇을 보고 놀았는지 묻기,집에서 한 재미있는 놀이나 편안한 휴식으로 전환,5,afternoon,2,,LOW,토요일 주말 외출 및 나들이 생활맥락을 파악하기 위한 질문,NEW_QUESTION
초1~2,sat,DIGITAL_CONTENT,GAME_TODAY,오늘 게임이나 스마트폰 놀이 했어?,GATE,무슨 게임인지 묻기;혼자 했는지 누구와 같이 했는지 묻기;어떤 점이 재미있었는지 묻기,장난감 놀이나 다른 재미있었던 일로 전환,5,afternoon,2,,LOW,초등 저학년 주말 디지털 놀이 경험을 사실 가정 없이 확인하기 위함,NEW_QUESTION
초1~2,sat,DAILY_LIFE,MOOD_TODAY,오늘 아침에 일어났을 때 기분이 개운했어?,GATE,푹 자서 힘이 나는지 묻기;아침에 일어나서 먼저 한 일 묻기,아직 졸린지 묻기;낮에 낮잠이나 휴식을 취했는지 묻기,7,morning,1,,LOW,토요일 아침 등교 부담 없는 여유로운 기상 맥락 파악,NEW_QUESTION
초1~2,sat,DAILY_LIFE,ACADEMY_TODAY,오늘 혹시 주말 학원이나 운동 다녀왔어?,GATE,어떤 학원이나 운동인지 묻기;오늘 새롭게 배운 것이나 재밌었던 점 묻기,주말 자유시간 동안 신나게 논 일로 전환,7,afternoon,1,,LOW,"주말 예체능(태권도, 미술, 수영 등) 활동 여부를 사실 가정 없이 확인",NEW_QUESTION
초1~2,sat,PEER_CONNECTION,FRIEND_PLAY,오늘 동네나 놀이터에서 친구 만났어?,GATE,어떤 친구를 만났는지 묻기;같이 무슨 놀이를 했는지 묻기,가족이나 혼자 재미있게 즐긴 놀이로 전환,5,afternoon,2,,LOW,학교 밖 동네/놀이터 주말 또래 교류 맥락 탐색,NEW_QUESTION
초1~2,sat,HOBBY_AND_CREATION,FRIEND_PLAY,오늘 집에서 블록이나 장난감 가지고 놀았어?,GATE,무엇을 만들었는지 묻기;어떤 놀이를 했는지 묻기,"그림 그리기, 책 읽기 등 다른 실내 활동으로 전환",5,afternoon,1,,LOW,초1~2 저학년 실내 장난감/교구 놀이 생활맥락 확인,NEW_QUESTION
초1~2,sat,FAMILY_RELATIONSHIP,OUTING_TODAY,오늘 가족이랑 마트나 시장에 다녀왔어?,GATE,어디에 갔는지 묻기;맛있는 거나 사고 싶은 걸 골랐는지 묻기,집에서 가족과 맛있게 먹은 음식이나 놀이로 전환,7,afternoon,2,,LOW,주말 저학년 일상에서 흔한 마트/시장 동행 경험 탐색,NEW_QUESTION
초1~2,sat,PHYSICAL_STATE,OUTING_TODAY,오늘 밖에서 땀날 만큼 신나게 뛰어놀았어?,GATE,어디서 뛰었는지 묻기;누구랑 뛰놀았는지 묻기,실내에서 편안하게 보낸 시간으로 전환,5,afternoon,1,,LOW,주말 야외 신체활동 및 활력 상태 파악,NEW_QUESTION
초1~2,sat,INTEREST_AND_PREFERENCE,WEEKEND_EXPECTATION,내일 일요일에 꼭 하고 싶은 일이 있어?,GATE,어떤 일인지 묻기;누구와 함께 하고 싶은지 묻기,푹 쉬거나 맛있는 것을 먹고 싶은 마음으로 전환,7,evening,2,,LOW,토요일 저녁 다음 날(일요일) 계획/기대감 탐색,NEW_QUESTION
초1~2,sat,DAILY_HIGHLIGHT,WEEKEND_HIGHLIGHT,오늘 제일 크게 웃었던 일이 뭐야?,OPEN,어떤 일 때문에 웃었는지 묻기;누구랑 함께 웃었는지 묻기,조용하고 편안했던 순간으로 전환,5,evening,2,06ad85ce-c331-2315-bd85-4ffab3ca8e3a;f35ae9ea-b736-6302-9efe-95730ff67835,LOW,토요일 유쾌하고 긍정적인 하이라이트 감정 회고,NEW_QUESTION
초1~2,sat,DAILY_LIFE,MOOD_TODAY,오늘 낮에 이불 속에서 뒹굴거리며 쉬었어?,GATE,쉴 때 어떤 생각을 하거나 뭐 했는지 묻기;마음이 편안했는지 묻기,낮에 보낸 활기찬 활동으로 전환,5,afternoon,1,,LOW,집에서 편하게 쉰 아이들을 배려한 주말 집콕 휴식 질문,NEW_QUESTION
초1~2,sat,MEAL_AND_TASTE,FOOD_TODAY,오늘 달콤하거나 맛있는 주말 간식 먹었어?,GATE,어떤 간식이었는지 묻기;누가 주셨거나 같이 먹었는지 묻기,오늘 먹은 밥 중에 맛있었던 메뉴로 전환,5,afternoon,2,,LOW,토요일 아이들이 좋아하는 간식 경험을 자연스럽게 묻는 Gate 질문,NEW_QUESTION
초1~2,sun,DAILY_LIFE,WEEKEND_EXPECTATION,다음 주에 제일 기다려지는 건 뭐야?,OPEN,무엇이 기다려지는지 구체적으로 묻기;그게 왜 기대되는지 묻기,다음 주에 만나고 싶은 친구나 하고 싶은 놀이로 전환,7,evening,2,497b9e75-5ed9-035a-c179-c34ee7e5609f;d9d362b2-1b84-2b8a-0f2e-136a8d110e61,LOW,기존 일요일 다음 주 기대 질문 유지,REUSE_EXISTING
초1~2,sun,DAILY_HIGHLIGHT,WEEKEND_HIGHLIGHT,오늘 집에서 조용히 쉬었어?,GATE,쉴 때 어떤 기분이었는지 묻기;누워서 무엇을 보거나 들었는지 묻기,오늘 밖에서 한 활동이나 놀이로 전환,7,afternoon,1,18385caf-e417-4828-7e82-bb3e26d3f4d3,LOW,기존 일요일 집콕 휴식 질문 유지,REUSE_EXISTING
초1~2,sun,DAILY_HIGHLIGHT,WEEKEND_HIGHLIGHT,오늘 하루 중에 제일 재밌었던 순간이 언제야?,OPEN,어떤 순간이었는지 묻기;왜 제일 재미있었는지 묻기,가장 마음 편했던 순간으로 전환,5,evening,2,0931af3d-4cc2-41ea-a080-254fe7645d7e,LOW,기존 일요일 일상 하이라이트 질문 유지,REUSE_EXISTING
초1~2,sun,MOOD_CHECK,MOOD_TODAY,"오늘 마음 날씨는 맑음, 구름, 비 중에 뭐야?",OPEN,날씨를 고른 이유 묻기;마음이 밝아진 순간 공감하기,비나 구름일 때 위로하고 따뜻하게 토닥이기,7,evening,2,9b1cb955-d0cd-69a0-e610-cba01f9921ba;43c6b427-6348-3b16-c3ce-29ec5c6c6f95,LOW,주말을 마무리하며 감정을 직관적(날씨)으로 돌아보는 질문으로 weekday_affinity에 sun 명시,REUSE_EXISTING
초1~2,sun,DAILY_HIGHLIGHT,WEEKEND_HIGHLIGHT,이번 주말(토·일)에 제일 신났던 순간이 언제야?,OPEN,무엇을 할 때였는지 묻기;누구와 함께 있었는지 묻기,주말 동안 가장 편안했던 순간으로 전환,7,evening,2,,LOW,일요일 저녁 주말 이틀간의 핵심 즐거움을 회고하는 질문,NEW_QUESTION
초1~2,sun,DAILY_LIFE,OUTING_TODAY,오늘 가족이랑 외식하거나 놀러 갔다 왔어?,GATE,어디에 다녀왔는지 묻기;무엇을 맛있게 먹었거나 재미있게 보았는지 묻기,집에서 가족과 함께 보낸 즐거운 시간으로 전환,7,evening,2,,LOW,일요일 가족 외식 및 주말 외출 경험 탐색,NEW_QUESTION
초1~2,sun,MOOD_CHECK,WEEKEND_EXPECTATION,내일 학교 갈 생각 하면 어떤 기분이 들어?,OPEN,기대되는 이유 공감하기;만나고 싶은 친구나 수업 묻기,조금 아쉽거나 피곤한 마음 공감하고 격려하기,7,evening,3,,LOW,일요일 저녁 등교 부담/기대 감정을 섬세하게 확인,NEW_QUESTION
초1~2,sun,PEER_CONNECTION,WEEKEND_EXPECTATION,내일 학교 가면 제일 먼저 보고 싶은 친구가 있어?,GATE,친구 이름 묻기;만나서 무슨 이야기나 놀이를 하고 싶은지 묻기,내일 학교에서 해보고 싶은 활동으로 전환,7,evening,2,,LOW,일요일 저녁 또래 관계 기대감을 통해 월요일 등교 동기 부여,NEW_QUESTION
초1~2,sun,HOBBY_AND_CREATION,FRIEND_PLAY,오늘 책을 읽거나 그림 그리며 놀았어?,GATE,어떤 책을 읽었거나 무엇을 그렸는지 묻기;가장 마음에 든 부분 묻기,다른 재미있었던 놀이나 TV 시청 이야기로 전환,5,afternoon,1,,LOW,일요일 조용한 창작/독서 여가 활동 확인,NEW_QUESTION
초1~2,sun,PHYSICAL_STATE,MOOD_TODAY,"지금 몸은 쌩쌩해, 아니면 조금 졸려?",OPEN,졸리면 푹 잘 수 있도록 토닥이기;쌩쌩하면 오늘 하루 에너지를 잘 썼는지 묻기,편안하게 쉴 수 있는 수면 분위기 조성,7,evening,1,c0825661-3e4c-12d7-5469-dd1710d43109;f93d68fb-fc17-b02c-8d77-a07aa2a93799,LOW,일요일 밤 취침 전 신체 컨디션 체크 및 숙면 유도,NEW_QUESTION
초1~2,sun,MEAL_AND_TASTE,FOOD_TODAY,오늘 저녁에 제일 맛있게 먹은 반찬이나 음식은 뭐야?,OPEN,어떤 음식이었는지 묻기;누가 만들어주셨는지 묻기,오늘 먹은 간식이나 마신 음료로 전환,5,evening,2,,LOW,일요일 저녁 가족 식사 경험 공유,NEW_QUESTION
초1~2,sun,FAMILY_RELATIONSHIP,WEEKEND_HIGHLIGHT,오늘 가족이랑 같이 깔깔 웃었던 일이 있어?,GATE,어떤 일 때문에 다 같이 웃었는지 묻기,가족과 함께 보낸 잔잔하고 편안한 시간으로 전환,7,evening,2,,LOW,일요일 가정 내 긍정적 유대감 및 웃음 경험 회고,NEW_QUESTION
초1~2,sun,DAILY_LIFE,WEEKEND_HIGHLIGHT,오늘 낮에 심심하지 않고 재미있게 보냈어?,GATE,무엇을 하며 시간을 보냈는지 묻기,조금 심심했을 때 하고 싶었던 놀이나 생각으로 전환,5,afternoon,1,,LOW,일요일 낮 여가 만족도 및 심심함/재미 여부 탐색,NEW_QUESTION
초1~2,sun,SCHOOL_EXPERIENCE,WEEKEND_EXPECTATION,다음 주에 학교에서 체육이나 미술처럼 기대되는 시간이 있어?,GATE,어떤 시간인지 묻기;왜 그 시간이 기대되는지 묻기,쉬는 시간에 친구들과 놀 기대감으로 전환,7,evening,2,,LOW,다음 주 학교 수업에 대한 긍정적 흥미 유발,NEW_QUESTION
초1~2,sun,DAILY_LIFE,WEEKEND_EXPECTATION,내일 입을 옷이나 책가방 미리 챙겨뒀어?,GATE,스스로 챙겼는지 칭찬하기;내일 입을 옷 색깔 묻기,자기 전에 천천히 챙기면 된다고 안심시키기,7,evening,1,,LOW,초1~2 저학년의 자기관리 습관 및 월요일 준비 일상 확인,NEW_QUESTION
초1~2,sun,EMOTIONAL_EXPERIENCE,MOOD_TODAY,이번 주말을 보낸 나 자신에게 잘 쉬었다 하고 칭찬해줄까?,OPEN,주말 동안 즐겁게 보낸 스스로를 토닥여주기;편안한 밤 되라고 축복하기,아쉬웠던 점을 부드럽게 들어주고 다음 주말을 기대하게 하기,7,evening,3,,LOW,일요일 밤 자기 긍정감과 정서적 안정감을 주는 마무리 질문,NEW_QUESTION
초1~2,thu,PHYSICAL_STATE,FOOD_TODAY,"지금 배고파, 아니면 괜찮아?",GATE,먹고 싶은 간식 확인;저녁 식사 기대감,지금 편안한 상태 공감 및 다른 활동으로 전환,7,afternoon,1,1b607c42-5856-faa1-74ce-89c6ef159094,LOW,기존 목요일 승인 질문 유지 (하교 후 기본 신체 상태 확인),REUSE_EXISTING
초1~2,thu,PHYSICAL_STATE,MOOD_TODAY,"지금 졸려, 아니면 괜찮아?",GATE,푹 쉴 수 있는 편안한 분위기 조성;오늘 하루 수고 격려,신나게 할 수 있는 다음 활동으로 전환,7,evening,1,f93d68fb-fc17-b02c-8d77-a07aa2a93799,LOW,기존 목요일 승인 질문 유지 (목요일 저녁 피로도 확인),REUSE_EXISTING
초1~2,thu,PHYSICAL_STATE,MOOD_TODAY,"오늘 몸이 쌩쌩했어, 조금 피곤했어?",GATE,오늘 신나게 활동했던 순간 확인,목요일 주 후반 피로감 공감 및 휴식 격려,7,evening,1,acb12d9a-49c0-c7fe-402e-29c05a7875ae,LOW,기존 미지정 질문에 weekday_affinity thu 추가 (주 후반 컨디션 체크),REUSE_EXISTING
초1~2,thu,PHYSICAL_STATE,MOOD_TODAY,오늘 조용히 쉬고 싶었던 때가 있었어?,GATE,쉬고 싶었던 순간 공감;지금 편안하게 쉬고 있는지 확인,하루 종일 즐겁게 보낸 활동으로 전환,7,evening,1,b2b2f3f3-a7d4-f832-fba2-1e6a2d0501f6,LOW,기존 미지정 질문에 weekday_affinity thu 추가 (목요일 쉼 맥락 지원),REUSE_EXISTING
초1~2,thu,SCHOOL_EXPERIENCE,SCHOOL_HIGHLIGHT,오늘 쉬는 시간에 뭐 했어?,OPEN,누구와 함께했는지;무슨 놀이였는지,교실에서 편하게 쉰 이야기로 전환,7,afternoon,2,513bc5f5-976a-4e25-9214-8a4b4683e8dc,LOW,기존 mon 전용 질문에 weekday_affinity thu 추가 (목요일 학교 쉬는시간 경험),REUSE_EXISTING
초1~2,thu,SCHOOL_EXPERIENCE,FRIEND_PLAY,"오늘 운동장에서 놀았어, 교실에서 놀았어?",GATE,그 장소에서 누구와 무슨 놀이를 했는지 확인,실내에서 조용히 보낸 재미있는 활동으로 전환,7,afternoon,1,03804e84-ed22-1fe5-f6c8-da0a7ef4a803,LOW,기존 mon 전용 질문에 weekday_affinity thu 추가 (목요일 활동 공간 확인),REUSE_EXISTING
초1~2,thu,SCHOOL_EXPERIENCE,ACADEMY_LEARNING,오늘 학원이나 방과후에서 새로 배운 게 있어?,GATE,어떤 내용이었는지;재미있었는지 칭찬,집에서 한 자유 놀이나 편안한 휴식으로 전환,7,evening,2,31c2dcbd-daf0-da13-1ef2-0e77dddaf455,LOW,기존 mon 전용 질문에 weekday_affinity thu 추가 (목요일 방과후/학원 배움),REUSE_EXISTING
초1~2,thu,TEACHER_RELATIONSHIP,SCHOOL_HIGHLIGHT,오늘 선생님이 도와준 일이 있었어?,GATE,어떤 도움을 받았는지;기분이 어땠는지 확인,스스로 씩씩하게 잘 해낸 순간 칭찬으로 전환,7,afternoon,2,18da943d-9ae3-e9b3-84be-72842390d610,LOW,기존 mon 전용 질문에 weekday_affinity thu 추가 (목요일 교사 상호작용),REUSE_EXISTING
초1~2,thu,PEER_CONNECTION,FRIEND_PLAY,오늘 친구랑 같이 웃은 일이 있었어?,GATE,어떤 일 때문에 웃었는지;친구와 나눈 대화,오늘 혼자서 재미있게 보낸 순간으로 전환,7,afternoon,2,fe4e71a5-f4d6-0b69-9693-1dae5fd5fff6,LOW,기존 tue 전용 질문에 weekday_affinity thu 추가 (목요일 또래 긍정 상호작용),REUSE_EXISTING
초1~2,thu,MEAL_AND_TASTE,FOOD_TODAY,오늘 먹은 것 중에 제일 맛있었던 건 뭐야?,OPEN,어떤 음식이었는지;누구와 함께 먹었는지,다음에 먹고 싶은 좋아하는 음식 이야기로 전환,7,evening,1,026af462-7f62-ce82-6002-b227e55cd12d,LOW,기존 미지정 질문에 weekday_affinity thu 추가 (목요일 식사/간식 일상 확인),REUSE_EXISTING
